OBJECTID_1,OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GLOBALID,Shape_Leng,aggregatio,HasData,ORIGINAL_O,sourceCoun,apportionm,population,populati_1,gender_MED,gender_MAL,gender_M_1,gender_M_2,gender_M_3,gender_M_4,gender_M_5,gender_M_6,gender_M_7,gender_M_8,gender_M_9,gender__10,gender__11,gender__12,gender__13,gender__14,gender__15,gender__16,gender__17,gender__18,gender__19,gender__20,gender__21,gender__22,gender__23,gender__24,gender__25,gender__26,gender__27,gender_FEM,gender_F_1,gender_F_2,gender_F_3,gender_F_4,gender_F_5,gender_F_6,gender_F_7,gender_F_8,gender_F_9,gender__28,gender__29,gender__30,gender__31,gender__32,gender__33,gender__34,gender__35,gender__36,gender__37,gender__38,gender__39,gender__40,gender__41,gender__42,gender__43,gender__44,gender__45,householdt,OwnerRente,OwnerRen_1,OwnerRen_2,OwnerRen_3,housinguni,vacant_VAC,vacant_V_1,raceandhis,raceandh_1,raceandh_2,raceandh_3,raceandh_4,raceandh_5,raceandh_6,raceandh_7,raceandh_8,raceandh_9,raceand_10,raceand_11,hispanicor,hispanic_1,educationa,educatio_1,educatio_2,educatio_3,educatio_4,educatio_5,educatio_6,househol_1,households,householdi,homevalue_,F5yearincre,unitsinstr,unitsins_1,unitsins_2,unitsins_3,unitsins_4,unitsins_5,unitsins_6,unitsins_7,unitsins_8,unitsins_9,unitsin_10,unitsin_11,unitsin_12,unitsin_13,unitsin_14,unitsin_15,commute_AC,commute__1,commute__2,commute__3,commute__4,commute__5,commute__6,Shape__Area,Shape__Length
23,, ,Reynoldstown,Neighborhood, ,0,,, ,395.41,0.62,Reynoldstown,N, ,,GIS,2022/05/24 00:00:00+00,{F178147A-A945-4234-8052-D81C012E4ECB},17900.2189637582,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,10,US,2.576,2.191,5623,34.9,2833,50.38,122,4.31,93,3.28,62,2.19,52,1.84,135,4.77,423,14.93,508,17.93,416,14.68,275,9.71,173,6.11,183,6.46,135,4.77,82,2.89,2790,49.62,145,5.2,108,3.87,59,2.11,47,1.68,163,5.84,453,16.24,470,16.85,331,11.86,242,8.67,188,6.74,146,5.23,113,4.05,71,2.54,3203,1317,41.12,1886,58.88,3585,382,10.66,3369,59.91,1282,22.8,261,4.64,5,0.09,4,0.07,111,1.97,503,8.95,0.5,8.07,1.7,6.75,6.62,39.77,36.04,1.75,8.48,130156,608716,34.9,928,34.6,273,10.18,125,4.66,13,0.48,32,1.19,113,4.21,354,13.2,813,30.31,29.09,0.51,0.74,0.9,10.07,52.67,6.05,17223812.0939941,17900.2189637582
24,, ,Ormewood Park,Neighborhood, ,0,,, ,505.91,0.79,Ormewood Park,W, ,,GIS,2022/05/24 00:00:00+00,{EC67BCEC-A8CB-49B0-8979-4D36C9FC2D32},21428.4028948578,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,11,US,2.576,2.191,5120,36.7,2536,49.53,173,6.82,177,6.98,148,5.84,106,4.18,94,3.71,142,5.6,296,11.67,316,12.46,276,10.88,206,8.12,195,7.69,129,5.09,100,3.94,2584,50.47,172,6.66,180,6.97,144,5.57,87,3.37,100,3.87,190,7.35,330,12.77,344,13.31,249,9.64,201,7.78,170,6.58,120,4.64,95,3.68,2377,1443,60.71,934,39.29,2489,112,4.5,3226,63.01,1168,22.81,179,3.5,3,0.06,4,0.08,70,1.37,329,6.43,1.31,3.48,0,7.57,5.64,40.67,39.57,2.14,11.29,161042,538803,36.7,155,6.92,58,2.59,177,7.9,60,2.68,47,2.1,44,1.96,276,12.32,1422,63.48,40.8,0.39,1.15,0.7,2.58,50.21,4.13,22037397.9558105,21428.4028948578
25,, ,Woodland Hills,Neighborhood, ,0,,, ,94.71,0.15,Woodland Hills,W, ,,GIS,2022/05/24 00:00:00+00,{01E58E2B-50D2-476B-9670-CDD137717CA1},8918.18627823437,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,12,US,2.576,2.191,518,37.5,273,52.7,12,4.4,12,4.4,18,6.59,16,5.86,11,4.03,15,5.49,36,13.19,36,13.19,30,10.99,24,8.79,19,6.96,13,4.76,11,4.03,245,47.3,15,6.12,15,6.12,9,3.67,9,3.67,12,4.9,17,6.94,29,11.84,30,12.24,26,10.61,16,6.53,17,6.94,12,4.9,10,4.08,239,170,71.13,69,28.87,251,12,4.78,248,47.88,175,33.78,12,2.32,4,0.77,1,0.19,28,5.41,61,11.78,0.77,9.51,1.29,7.2,1.8,36.76,42.16,2.17,11.22,145052,457333,37.5,0,0,0,0,0,0,2,0.9,3,1.36,0,0,17,7.69,200,90.5,45.42,0.37,0.37,0.37,4.4,46.89,2.2,4125419.68774414,8918.18627823436
26,, ,Benteen Park,Neighborhood, ,0,,, ,180.54,0.28,Benteen,W, ,,GIS,2022/05/24 00:00:00+00,{6F4AC49D-3F7D-4873-89C6-AEE0A2D6AAC5},13853.8158770003,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,13,US,2.576,2.191,1805,37.5,974,53.96,61,6.26,53,5.44,51,5.24,60,6.16,55,5.65,53,5.44,104,10.68,106,10.88,89,9.14,75,7.7,77,7.91,68,6.98,35,3.59,831,46.04,50,6.02,50,6.02,45,5.42,56,6.74,43,5.17,51,6.14,73,8.78,87,10.47,74,8.9,63,7.58,66,7.94,56,6.74,45,5.42,817,388,47.49,429,52.51,912,95,10.42,561,31.08,792,43.88,35,1.94,14,0.78,1,0.06,247,13.68,385,21.33,2.73,22.4,11.48,10.38,7.96,22.95,13.58,2.21,42.91,53873,423387,37.5,6,0.68,0,0,34,3.85,245,27.71,227,25.68,0,0,33,3.73,338,38.24,7.07,0.31,0.2,0.51,36.17,52.87,2.77,7864496.37695312,13853.8158770003
27,, ,Boulevard Heights,Neighborhood, ,0,,, ,140.21,0.22,Boulevard Heights,W, ,,GIS,2022/05/24 00:00:00+00,{86A6BACD-68D0-40FD-83BA-9FD63C97B887},11725.6586747101,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,14,US,2.576,2.191,1145,36.4,600,52.4,38,6.33,24,4,24,4,18,3,29,4.83,49,8.17,95,15.83,85,14.17,55,9.17,57,9.5,44,7.33,29,4.83,14,2.33,545,47.6,20,3.67,27,4.95,22,4.04,13,2.39,25,4.59,64,11.74,86,15.78,61,11.19,55,10.09,37,6.79,36,6.61,31,5.69,25,4.59,584,323,55.31,261,44.69,686,102,14.87,553,48.3,355,31,43,3.76,10,0.87,0,0,92,8.03,156,13.62,4.2,7.18,0,8.4,9.39,43.09,24.31,1.96,6.4,96043,469079,36.4,0,0,0,0,0,0,16,4.28,25,6.68,0,0,106,28.34,227,60.7,26.23,1.64,1.23,2.87,4.51,52.66,10.86,6107540.24487305,11725.6586747101
28,, ,Rebel Valley Forest,Neighborhood, ,0,,, ,112.36,0.18,Rebel Valley Forest,Z, ,,GIS,2022/05/24 00:00:00+00,{6B3F2CCF-2905-45C6-8B08-E6971E78C328},9128.2607499583,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,15,US,2.576,2.191,322,34.7,161,50,10,6.21,11,6.83,13,8.07,12,7.45,12,7.45,10,6.21,15,9.32,11,6.83,10,6.21,15,9.32,14,8.7,9,5.59,7,4.35,161,50,11,6.83,12,7.45,13,8.07,8,4.97,15,9.32,11,6.83,10,6.21,12,7.45,12,7.45,7,4.35,13,8.07,9,5.59,7,4.35,111,45,40.54,66,59.46,150,39,26,27,8.39,242,75.16,0,0,2,0.62,0,0,39,12.11,51,15.84,19.42,21.84,7.77,24.27,11.17,5.34,0,2.9,0,51897,227174,34.7,0,0,0,0,0,0,3,1.63,0,0,0,0,0,0,140,76.09,0,0,0,0,0,72.09,27.91,4894277.90527344,9128.2607499583
29,, ,Leila Valley,Neighborhood, ,0,,, ,314.8,0.49,Leila Valley,Z, ,,GIS,2022/05/24 00:00:00+00,{D3B20D8F-7D74-4A29-A947-FA64841311FA},24885.5192028664,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,16,US,2.576,2.191,787,32.9,380,48.28,29,7.63,30,7.89,35,9.21,34,8.95,28,7.37,19,5,29,7.63,31,8.16,25,6.58,28,7.37,25,6.58,20,5.26,15,3.95,407,51.72,31,7.62,33,8.11,38,9.34,29,7.13,31,7.62,21,5.16,32,7.86,38,9.34,27,6.63,24,5.9,21,5.16,17,4.18,16,3.93,281,102,36.3,179,63.7,344,63,18.31,29,3.68,670,85.13,5,0.64,5,0.64,0,0,46,5.84,68,8.64,10.66,24.52,6.61,24.73,10.23,13.43,0,2.8,13.5,43482,153571,32.9,0,0,8,2.14,75,20.11,13,3.49,16,4.29,0,0,3,0.8,223,59.79,3.24,0,0,1.62,4.45,72.87,17.81,13712534.1413574,24885.5192028664
30,, ,Chosewood Park,Neighborhood, ,0,,, ,560.44,0.88,Choosewood Park,Y, ,,GIS,2022/05/24 00:00:00+00,{EE550657-B80D-4F61-B2AB-DEE359E72B65},25519.163790945,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,17,US,2.576,2.191,4328,38.4,3192,73.75,66,2.07,66,2.07,61,1.91,69,2.16,149,4.67,314,9.84,445,13.94,521,16.32,503,15.76,349,10.93,228,7.14,174,5.45,105,3.29,1136,26.25,59,5.19,58,5.11,65,5.72,56,4.93,93,8.19,103,9.07,128,11.27,106,9.33,95,8.36,71,6.25,61,5.37,57,5.02,56,4.93,1011,339,33.53,672,66.47,1117,106,9.49,1190,27.5,2783,64.3,10,0.23,18,0.42,0,0,129,2.98,586,13.54,13.78,18.75,25.14,15.4,4.99,7.28,8.68,2.15,21.81,68666,424830,38.4,22,3.84,39,6.81,0,0,33,5.76,130,22.69,25,4.36,16,2.79,300,52.36,22.14,8.51,1.39,1.39,14.55,47.06,4.49,24412468.4174805,25519.163790945
31,, ,Cascade Avenue/Road,Neighborhood, ,0,,, ,673.3,1.05,Cascade Road,S, ,,GIS,2022/05/24 00:00:00+00,{CDB5122B-F54E-4893-9264-C41C69E235D4},25579.3263733299,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,18,US,2.576,2.191,2213,42.5,1059,47.85,48,4.53,68,6.42,53,5,42,3.97,68,6.42,65,6.14,87,8.22,69,6.52,69,6.52,84,7.93,81,7.65,78,7.37,71,6.7,1154,52.15,47,4.07,46,3.99,64,5.55,52,4.51,57,4.94,64,5.55,96,8.32,103,8.93,80,6.93,58,5.03,66,5.72,75,6.5,72,6.24,927,643,69.36,284,30.64,1127,200,17.75,134,6.06,1981,89.52,7,0.32,3,0.14,0,0,12,0.54,54,2.44,7.85,29.86,4.08,14.93,5.28,18.65,12.89,2.39,39.98,42568,136786,42.5,0,0,10,0.78,36,2.81,65,5.07,17,1.33,43,3.36,40,3.12,1070,83.53,13.56,0,0.1,0,11.98,69.65,1.87,29328959.9528809,25579.3263733299
32,, ,Oakland City,Neighborhood, ,0,,, ,630.39,0.98,Oakland City,S, ,,GIS,2022/05/24 00:00:00+00,{EB398172-A2F8-42B4-B73A-D237D926B9C8},34560.3853974936,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,19,US,2.576,2.191,3086,35.9,1511,48.96,93,6.15,83,5.49,108,7.15,110,7.28,90,5.96,97,6.42,181,11.98,152,10.06,120,7.94,71,4.7,72,4.77,78,5.16,85,5.63,1575,51.04,76,4.83,88,5.59,89,5.65,93,5.9,102,6.48,110,6.98,168,10.67,155,9.84,97,6.16,98,6.22,80,5.08,74,4.7,92,5.84,1290,664,51.47,626,48.53,1497,207,13.83,263,8.52,2650,85.87,20,0.65,3,0.1,1,0.03,46,1.49,103,3.34,9.06,26.47,6.69,17.46,4.23,15.56,15.98,2.39,23.7,38012,388736,35.9,0,0,0,0,25,1.53,72,4.39,126,7.69,109,6.65,62,3.78,1246,76.02,16.44,4.72,4.19,1.45,24.73,41.17,5.25,27459719.0324707,34560.3853974936
33,, ,Campbellton Road,Neighborhood, ,0,,, ,282.91,0.44,Campbellton Road,R, ,,GIS,2022/05/24 00:00:00+00,{7F9C6923-F17A-4C70-9F40-49235294CB69},15863.5603001766,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,20,US,2.576,2.191,5332,35,2379,44.62,239,10.05,224,9.42,181,7.61,128,5.38,122,5.13,165,6.94,187,7.86,161,6.77,125,5.25,101,4.25,99,4.16,127,5.34,161,6.77,2953,55.38,218,7.38,229,7.75,167,5.66,162,5.49,164,5.55,233,7.89,247,8.36,205,6.94,151,5.11,139,4.71,130,4.4,185,6.26,234,7.92,2620,142,5.42,2478,94.58,2927,307,10.49,70,1.31,5109,95.82,6,0.11,7,0.13,0,0,27,0.51,86,1.61,8.52,41.27,6.2,19.58,9.06,8.55,5.32,2.04,40.57,23872,60417,35,425,15.94,379,14.22,856,32.11,292,10.95,324,12.15,49,1.84,47,1.76,273,10.24,6.89,1.74,0.48,0,43.41,41.55,6,12323572.8154297,15863.5603001766
34,, ,Southwest,Neighborhood, ,0,,, ,1262.47,1.97,Southwest,R, ,,GIS,2022/05/24 00:00:00+00,{430929E0-8949-48DD-9E5F-778F07F688F9},46142.6899811559,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,21,US,2.576,2.191,5020,36.2,2332,46.45,168,7.2,173,7.42,155,6.65,153,6.56,165,7.08,165,7.08,171,7.33,189,8.1,169,7.25,142,6.09,113,4.85,137,5.87,125,5.36,2688,53.55,177,6.58,170,6.32,142,5.28,181,6.73,175,6.51,191,7.11,225,8.37,202,7.51,180,6.7,160,5.95,147,5.47,132,4.91,144,5.36,2040,1024,50.2,1016,49.8,2209,169,7.65,113,2.25,4615,91.93,17,0.34,30,0.6,0,0,77,1.53,195,3.88,4.55,21.3,6.34,23.09,8.12,19.58,15.98,2.46,13.1,61140,353099,36.2,50,1.94,42,1.63,280,10.85,418,16.2,93,3.6,80,3.1,166,6.43,1427,55.31,19.1,0.34,0,0,10.91,60.72,8.93,54992889.8383789,46142.6899811559
35,, ,Adams Park,Neighborhood, ,0,,, ,628.53,0.98,Adams Park,R, ,,GIS,2022/05/24 00:00:00+00,{806632F1-D3FC-4DD2-978A-42B625F8C601},21028.3650077135,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,22,US,2.576,2.191,1630,47.2,775,47.55,26,3.35,36,4.65,45,5.81,50,6.45,44,5.68,44,5.68,52,6.71,46,5.94,52,6.71,39,5.03,52,6.71,55,7.1,56,7.23,855,52.45,30,3.51,32,3.74,36,4.21,46,5.38,44,5.15,47,5.5,44,5.15,49,5.73,55,6.43,51,5.96,52,6.08,48,5.61,57,6.67,692,417,60.26,275,39.74,771,79,10.25,92,5.64,1446,88.71,7,0.43,6,0.37,0,0,20,1.23,44,2.7,6.94,28.55,3.87,19.52,3.06,22.66,15.32,2.36,14.74,73502,351765,47.2,51,6.02,27,3.19,35,4.13,54,6.38,37,4.37,0,0,2,0.24,619,73.08,18.28,0,0,1.6,11.78,60,8.34,27378542.8808594,21028.3650077135
