# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=32105
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=df2_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,aux_unscaled,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,p_aux_unscaled,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3,g_aux_unscaled
-834.72,0.977198,0.44978,3,7,0,835.985,87.5287,-0.0919669,0.202376,0.245262,-0.184956,-2.07474,-33.0188,-1.8015,66.6639,-5.79427,-2.11205,-14.518,-84.9984,55.9247,33.4034
-835.273,0.99466,0.44978,3,7,0,836.773,87.4972,-0.100171,0.272449,0.249426,-0.285713,-4.65954,-54.3927,11.5298,-10.6307,28.2913,-3.29262,-44.897,121.046,-33.8037,-28.1554
-833.438,1,0.44978,3,7,0,837.233,87.5282,-0.0720871,0.205185,0.23077,-0.217635,9.66856,4.73909,9.27864,-79.2342,27.915,-2.26448,41.9389,-61.7099,13.7613,16.3379
-837.522,0.866322,0.44978,3,7,0,839.941,88.0569,-0.039284,0.224739,0.23394,-0.19771,2.34546,-63.6753,76.4691,-21.596,-9.15287,7.81515,131.363,-9.40764,-5.09631,20.1406
-833.522,1,0.44978,3,7,0,838.284,87.5166,-0.107381,0.211355,0.216108,-0.23307,-8.33392,-120.647,26.9327,12.1337,-34.0074,-2.57062,-61.902,-23.4337,-38.6858,6.90391
-834.927,0.909232,0.44978,3,7,0,836.81,87.7454,-0.0634382,0.252968,0.265842,-0.182995,-2.02965,-28.7829,23.2078,-73.0203,23.5031,1.87334,62.4413,23.9834,43.0214,34.1964
-836.227,0.903336,0.44978,3,7,0,838.267,87.5568,-0.0943826,0.262467,0.230147,-0.158489,3.1038,73.7961,46.2515,30.6147,17.6308,-1.51144,-19.9746,93.0249,-62.8327,46.3068
-835.192,0.992305,0.44978,3,7,0,837.15,87.6179,-0.104075,0.260381,0.231659,-0.183942,2.02439,-14.0102,-49.5522,34.386,-38.623,-0.467814,-47.1889,90.1933,-59.226,33.0919
-835.379,0.997782,0.44978,3,7,0,837.634,88.002,-0.0948904,0.194558,0.238449,-0.232068,2.7504,-74.2738,14.3983,3.91778,42.0404,7.26071,-24.6365,-106.538,52.7873,3.79349
-836.136,0.998592,0.44978,3,7,0,838.664,88.0617,-0.092646,0.210462,0.23798,-0.164473,-1.80281,16.0099,67.2217,-17.9242,43.2126,7.39805,-15.703,-51.1196,24.2765,42.8736
-833.948,0.977629,0.44978,3,7,0,838.531,87.6168,-0.0864348,0.26991,0.248289,-0.233466,-9.75036,17.837,45.5377,29.1475,-54.2555,-0.538141,0.508012,103.186,-30.0316,5.85298
-834.034,0.988894,0.44978,3,7,0,835.929,87.4562,-0.108916,0.253579,0.264413,-0.24968,-2.99189,-52.0608,-60.9213,30.9657,-13.4074,-3.92337,-68.7174,31.4538,43.7768,-4.04714
-834.464,0.967218,0.44978,3,7,0,836.865,87.1636,-0.0846586,0.221544,0.234563,-0.240654,5.13726,67.0331,-18.4454,-67.8231,6.90854,-9.8783,5.88981,-20.8779,1.13898,0.477071
-832.881,0.971682,0.44978,4,15,0,836.472,87.7001,-0.0924301,0.216811,0.211972,-0.248736,11.5282,7.30933,59.1202,-5.8118,1.41222,1.18738,-17.9046,-1.05918,-61.0228,-1.22143
-836.679,0.913431,0.44978,3,7,0,837.327,88.0894,-0.0606429,0.223504,0.244248,-0.168128,-1.08851,6.69278,27.7963,42.6284,5.86012,7.94622,67.9245,-25.5662,23.7967,39.5973
-835.741,0.985836,0.44978,3,7,0,839.505,88.0472,-0.067471,0.220072,0.221814,-0.177043,3.96834,57.5667,13.844,106.614,23.5125,7.32353,50.9592,-5.30581,-30.968,36.1085
-834.269,0.983092,0.44978,4,15,0,837.667,87.8639,-0.0811955,0.239029,0.264563,-0.18822,-8.15616,-54.5286,41.8441,14.3146,-40.8451,4.09072,14.7281,-11.992,58.9618,32.3714
-836.882,0.889136,0.44978,3,7,0,838.918,87.3801,-0.0897333,0.191039,0.235305,-0.319152,-0.81004,21.0829,71.933,-52.3881,-7.27145,-6.34123,-11.0545,-133.737,57.8846,-51.491
-836.895,0.994799,0.44978,3,7,0,840.111,88.1988,-0.0968523,0.258092,0.231538,-0.220513,4.71907,18.7581,60.2877,13.3019,52.0757,10.9878,-29.7761,90.5427,-60.7647,7.72546
-835.672,0.968294,0.44978,3,7,0,841.16,87.4232,-0.113367,0.201885,0.244248,-0.282069,-14.5785,16.8432,-52.5633,3.45954,-26.1639,-4.92541,-87.9334,-103.21,65.3344,-26.7987
-837.62,0.989978,0.44978,3,15,0,839.824,87.253,-0.0528519,0.271522,0.249383,-0.200115,5.35446,60.3266,43.5141,-1.73828,29.0482,-7.41261,94.1488,99.5157,-27.2726,18.5308
-833.26,1,0.44978,3,7,0,840.046,87.7734,-0.0965081,0.202777,0.222866,-0.230405,8.76917,-132.484,29.0447,-73.1863,-38.4585,2.62338,-29.3491,-58.7419,-5.74345,9.02644
-833.321,0.99275,0.44978,4,15,0,834.651,87.6448,-0.0786537,0.247913,0.271343,-0.237171,-4.26884,19.9689,3.99982,-25.1175,-34.2118,0.0293068,23.8869,3.25606,72.0282,4.88255
-833.184,0.998297,0.44978,3,15,0,834.391,87.464,-0.0724521,0.233599,0.230905,-0.209113,0.0995758,-31.0457,-27.3459,-61.6501,-6.04251,-3.46641,40.1923,19.8438,-26.4192,21.9738
-832.712,0.991821,0.44978,3,7,0,834.266,87.7362,-0.0765323,0.221429,0.21866,-0.257253,-4.86236,36.1851,30.3316,-15.8636,29.8122,1.97754,31.5028,2.90809,-48.3812,-5.9935
-834.239,0.812669,0.44978,3,7,0,837.502,87.4569,-0.109092,0.207684,0.242679,-0.266327,0.223785,24.6425,-38.8228,106.48,21.238,-4.04081,-71.599,-79.0411,49.0919,-14.4828
-832.84,0.975431,0.44978,3,7,0,835.933,87.5694,-0.0815878,0.238352,0.230351,-0.28744,4.18375,96.3128,64.0347,-23.9976,-8.40311,-1.6728,16.6758,39.877,-40.6696,-24.3567
-837.339,0.831928,0.44978,3,7,0,839.61,87.1149,-0.114065,0.218077,0.204736,-0.225535,2.2274,32.5338,58.4175,-21.0688,-40.0465,-10.5579,-80.5926,13.3309,-81.3415,3.79512
-836.761,1,0.44978,3,7,0,838.486,87.2322,-0.113844,0.214293,0.197862,-0.23365,8.32857,19.7617,-19.3878,-12.867,-14.0289,-8.34804,-81.2518,12.5084,-97.5402,0.0737899
-836.745,0.983504,0.44978,3,7,0,840.052,88.0611,-0.059209,0.238619,0.269492,-0.282354,-8.0439,-60.0161,-38.1732,-67.8283,6.256,9.3503,90.0878,-23.975,88.0012,-29.097
-835.202,1,0.44978,3,7,0,839.891,87.6722,-0.12194,0.218872,0.207537,-0.264224,12.4822,9.19085,39.2889,8.73318,-41.6304,0.622092,-112.04,12.467,-80.2807,-15.1561
-833.522,0.998519,0.44978,3,15,0,836.668,87.9829,-0.0778712,0.225343,0.245403,-0.259505,1.63659,-104.167,-6.26681,-72.6408,-14.575,7.26112,27.4397,-26.7756,29.2598,-8.95122
-833.006,0.990508,0.44978,3,7,0,834.742,87.8255,-0.0867223,0.214721,0.214654,-0.247513,-8.09673,-27.1126,18.8246,-24.2159,10.4981,3.80376,-0.356547,-11.5744,-49.4459,-0.738123
-833.058,0.963381,0.44978,3,15,0,835.536,87.4631,-0.0928171,0.24739,0.260325,-0.263636,-0.400349,-79.6181,21.7995,0.536109,45.1105,-3.88586,-19.6692,19.2075,41.8576,-10.4837
-832.584,0.959285,0.44978,3,7,0,834.938,87.6773,-0.0829642,0.249567,0.247778,-0.271074,-4.48075,-15.9425,16.1023,82.5388,-23.1136,0.742812,11.7113,46.648,-1.3488,-14.0075
-832.779,0.994925,0.44978,3,15,0,833.195,87.4887,-0.0871644,0.235728,0.259741,-0.247898,1.92003,11.4861,21.0379,10.5583,-16.8265,-3.23038,-1.71388,-16.2768,56.6671,-0.484479
-837.637,0.867403,0.44978,3,7,0,839.312,87.8183,-0.116108,0.243603,0.242816,-0.352129,2.68132,45.6122,14.8388,-69.1228,11.2944,4.50184,-111.504,41.6472,-9.12015,-72.7599
-835.804,0.912203,0.44978,3,7,0,841.187,87.4693,-0.0608421,0.2348,0.21091,-0.178446,2.02965,-99.9414,-38.2764,31.1094,-69.0718,-3.16524,68.81,48.58,-79.8462,35.1401
-833.57,1,0.44978,3,7,0,838.287,87.7191,-0.0595006,0.246355,0.240278,-0.230408,6.75246,-31.8659,2.04924,92.6253,-52.0352,1.52847,80.3283,44.6163,-18.6952,8.42637
-835.534,0.841747,0.44978,3,7,0,838.095,87.9047,-0.0809004,0.262285,0.221696,-0.233428,0.27095,-77.6206,-68.3617,41.4521,-2.67743,5.30479,17.0094,120.073,-97.9533,2.68783
-832.709,0.980624,0.44978,2,3,0,836.55,87.7155,-0.0858762,0.222887,0.224432,-0.20971,-5.4418,-16.4607,-99.2489,56.2354,2.35873,1.39691,2.0689,-1.39382,-29.6307,22.5601
-835.462,0.866108,0.44978,3,7,0,836.992,87.5185,-0.0902173,0.219375,0.193409,-0.290143,-2.5467,-4.1125,-37.2565,33.7896,-35.091,-2.8382,-12.0528,38.3819,-132.584,-31.2472
-832.685,1,0.44978,3,7,0,835.65,87.7369,-0.0927509,0.211186,0.238069,-0.242895,3.63498,7.60914,5.31009,95.4694,32.4973,1.93622,-18.6726,-57.7693,27.5269,2.68678
-834.534,0.893227,0.44978,3,7,0,837.074,87.5573,-0.0760702,0.251346,0.225303,-0.299534,0.794204,70.6779,-10.1906,-34.5858,-46.8907,-1.99209,35.8618,93.6492,-80.9506,-35.0008
-833.614,0.978548,0.44978,3,7,0,838.123,87.7624,-0.103918,0.232127,0.264844,-0.232227,0.673342,-76.353,-8.11294,80.3968,-57.1609,2.41044,-51.4961,-34.0665,75.461,7.25846
-833.691,0.975238,0.44978,3,7,0,836.359,87.4537,-0.0691975,0.209416,0.214133,-0.259238,-8.77766,-10.2897,11.3304,-64.1704,-15.5569,-4.05264,54.6561,-27.6929,-43.933,-9.15245
-832.899,0.938849,0.44978,3,7,0,835.26,87.6016,-0.107247,0.219949,0.242358,-0.249149,-4.38557,37.3552,-81.225,-3.76477,-10.0734,-0.875011,-63.5067,-38.1343,27.5908,-1.48763
-833.612,0.976964,0.44978,3,7,0,834.733,87.4684,-0.0971261,0.227229,0.216252,-0.285096,-1.57981,-76.6426,8.44331,-18.1888,-4.54177,-3.9372,-34.7736,26.2161,-68.7097,-24.5025
-835.895,0.952125,0.44978,3,7,0,837.583,87.289,-0.097214,0.185923,0.20836,-0.219763,4.63937,40.7515,7.16827,36.0485,32.5198,-6.99783,-30.781,-85.3631,-23.2633,10.1322
-836.957,0.923201,0.44978,4,15,0,839.297,87.997,-0.0708984,0.282994,0.26363,-0.258222,-3.65837,-36.9324,62.7438,-42.1415,26.6177,7.5445,49.2157,125.377,-3.99176,-15.0129
-835.5,1,0.44978,3,7,0,839.103,87.4828,-0.113156,0.197816,0.231789,-0.292216,-7.45934,19.4242,-34.9688,-83.9635,29.4234,-3.66405,-89.0279,-98.0907,31.7101,-32.5547
-838.966,0.934662,0.44978,3,7,0,841.125,87.7756,-0.125556,0.179555,0.208347,-0.30147,7.43924,16.5199,18.3741,-60.8945,12.1479,3.0766,-133.047,-122.281,-16.6024,-45.0557
-838.786,1,0.44978,4,15,0,840.591,87.7833,-0.125119,0.174094,0.203568,-0.276867,-0.27468,31.1176,4.50446,-19.1425,49.2081,3.09894,-125.244,-126.39,-22.4605,-29.931
-835.08,0.992484,0.44978,3,7,0,840.58,87.5536,-0.113857,0.216071,0.210656,-0.298931,3.92119,-110.303,-99.3485,-49.535,-14.891,-2.07721,-92.6104,-1.47109,-70.7071,-35.7465
-833.169,0.993797,0.44978,3,7,0,835.806,87.8468,-0.0725553,0.227998,0.25389,-0.23477,-1.5431,-75.0646,-51.6025,-29.5911,-35.105,4.14035,42.0039,-30.2173,49.2648,6.60844
-833.528,0.990041,0.44978,3,7,0,834.444,87.5016,-0.106523,0.231759,0.223976,-0.280716,-3.42244,49.9368,-20.1749,10.0396,14.9561,-3.16122,-65.2687,28.1817,-50.2136,-21.6973
-833.566,0.98967,0.44978,3,7,0,834.691,87.5854,-0.112652,0.211213,0.235565,-0.253655,-3.11495,-16.0171,28.9665,-28.1043,-27.8687,-1.22475,-80.862,-55.0609,20.3043,-5.53162
-833.551,0.936136,0.44978,3,7,0,837.585,87.6027,-0.0651728,0.203634,0.224515,-0.253928,-3.91865,-56.5312,-14.2343,-110.974,-26.1946,-0.859309,66.58,-61.4795,-2.23873,-5.68269
-835.245,0.971979,0.44978,3,15,0,836.268,87.7448,-0.0472947,0.21489,0.220866,-0.204231,-1.771,35.6792,-43.7948,-5.50478,-19.9714,1.94317,110.557,-18.8543,-28.093,20.7672
-834.701,0.990456,0.44978,3,7,0,837.492,87.9107,-0.112676,0.221453,0.22353,-0.289686,-3.03906,-97.7811,4.69425,53.2057,-25.0056,6.07392,-86.9782,-4.95588,-35.4269,-29.4323
-838.416,0.833737,0.44978,3,7,0,840.165,87.4119,-0.0524046,0.24162,0.294296,-0.202657,3.52936,32.8221,56.438,-2.78339,-28.1367,-4.41812,95.8831,-46.7546,140.415,15.4212
-835.573,1,0.44978,3,7,0,839.255,87.7691,-0.117374,0.261523,0.230027,-0.232378,-4.14592,55.3911,80.6838,55.3407,28.0039,2.54651,-91.5469,105.166,-71.8272,3.24993
-837.324,0.988983,0.44978,3,7,0,839.346,87.7773,-0.0894944,0.172275,0.220119,-0.295544,3.3799,-101.057,10.6431,18.7045,2.41757,3.07766,-9.74221,-165.276,35.6202,-38.2201
-837.553,0.948755,0.44978,3,15,0,840.699,87.6899,-0.0872439,0.260835,0.209336,-0.163773,2.93896,-8.93682,-35.5216,-87.8704,-38.2647,0.822482,-1.66805,116.757,-115.369,40.4683
-833.499,1,0.44978,3,7,0,839.095,87.5386,-0.0847725,0.205214,0.236303,-0.286929,3.18275,-25.8098,119.437,-31.6296,-47.3177,-2.36598,6.09089,-79.9953,34.086,-25.3804
-833.954,0.995959,0.44978,3,7,0,835.242,87.4502,-0.072881,0.228783,0.242746,-0.310779,-0.535418,22.6254,68.3905,4.0972,-3.33648,-4.57477,47.7785,-13.0957,17.1629,-40.5931
-836,0.890076,0.44978,3,7,0,839.072,87.3854,-0.102114,0.270768,0.263016,-0.298974,0.889319,-86.0599,59.1951,45.0495,27.9415,-5.96765,-52.7055,95.4877,14.3317,-37.5628
-832.667,0.997424,0.44978,3,7,0,836.572,87.4927,-0.0832192,0.227551,0.253,-0.25968,-6.62481,-47.6545,65.6209,52.0907,-38.5269,-3.22192,10.6443,-31.7787,49.6741,-7.34049
-832.716,0.994017,0.44978,3,7,0,833.421,87.4263,-0.0891507,0.233037,0.249577,-0.26475,-2.59531,-38.2359,26.1157,-24.2132,-6.39554,-4.68919,-8.07453,-9.25864,30.6071,-10.4799
-832.958,0.91946,0.44978,3,7,0,837.224,87.8618,-0.074445,0.217297,0.237994,-0.250212,-0.108624,85.9312,-14.7098,-6.43616,68.1047,4.58563,37.4972,-39.6695,18.283,-2.25229
-832.88,0.999929,0.44978,3,15,0,833.786,87.6686,-0.0803941,0.220138,0.222694,-0.205564,-4.85217,-31.8366,18.8075,-16.24,13.3762,0.485697,17.5108,-6.68352,-30.4114,24.704
-833.46,0.912881,0.44978,2,7,0,836.231,87.6882,-0.0814362,0.219443,0.261035,-0.262378,-0.147053,11.4219,-24.5903,-69.7258,48.7222,0.965515,16.3355,-70.2566,88.1313,-10.5457
-835.068,0.984783,0.44978,4,15,0,836.349,87.5773,-0.0967889,0.233669,0.215811,-0.162895,-0.0754861,13.4278,-37.6875,28.0467,-33.3941,-1.16389,-26.3816,37.8271,-63.2403,45.9581
-834.605,0.986912,0.44978,3,7,0,836.413,87.6573,-0.100936,0.219203,0.221698,-0.164272,-4.34505,19.6301,61.7362,-36.4061,12.7337,0.247688,-37.2216,-7.27226,-29.3548,46.0529
-833.518,0.996354,0.44978,3,15,0,837.13,87.5861,-0.0732576,0.223324,0.2346,-0.30985,3.64701,-64.9993,70.0822,72.469,-19.6004,-1.35464,46.3816,-17.8885,-1.68979,-39.1711
-834.311,0.950386,0.44978,3,7,0,835.841,87.9069,-0.105457,0.212029,0.221767,-0.198996,-1.67956,-7.04681,-12.6874,53.0539,35.368,4.99371,-52.4759,-27.8731,-21.3114,25.7877
-834.3,0.994147,0.44978,3,7,0,836.184,87.813,-0.0721146,0.199539,0.203286,-0.244669,5.90866,-46.2471,-26.654,-26.5018,27.6189,3.52189,44.1891,-40.4775,-60.6889,-1.63147
-834.243,0.993232,0.44978,4,15,0,836.359,87.489,-0.096116,0.262369,0.274973,-0.25905,3.23298,-84.8787,-8.82982,-2.88852,-32.9125,-3.29664,-29.8435,43.0636,63.9532,-10.0835
-834.231,0.953182,0.44978,3,7,0,836.355,87.6833,-0.0631987,0.237012,0.271562,-0.236289,3.92035,43.6205,-22.4427,-75.3431,14.0068,0.816518,70.1896,-29.7669,88.897,3.58544
-834.404,0.9555,0.44978,3,7,0,837.583,87.9737,-0.0861506,0.260069,0.240023,-0.234129,-4.78535,-89.3385,-13.7456,-78.4272,-2.24053,6.71512,1.35743,86.2756,-40.0647,4.53517
-835.507,0.977999,0.44978,3,7,0,837.145,87.8603,-0.061089,0.221977,0.259158,-0.298889,-6.44457,10.4487,-45.2074,-0.246228,-20.1507,5.01892,86.7295,-63.7939,84.1031,-36.5588
