"student_id","school_type","major","parent_in_stem","age"
101,"Non-STEM School","Business","No",20
102,"Non-STEM School","Arts","Yes",20
103,"STEM School","STEM","No",19
104,"Non-STEM School","Humanities","Yes",20
105,"STEM School","STEM","Yes",24
106,"Non-STEM School","Humanities","Yes",20
107,"STEM School","STEM","No",23
108,"Non-STEM School","Social Sciences","Yes",20
109,"STEM School","STEM","Yes",20
110,"STEM School","STEM","No",21
111,"Non-STEM School","Arts","Yes",19
112,"STEM School","Social Sciences","No",20
113,"Non-STEM School","Humanities","No",22
114,"Non-STEM School","Humanities","No",22
115,"Non-STEM School","Humanities","No",20
116,"Non-STEM School","Social Sciences","No",22
117,"Non-STEM School","Social Sciences","Yes",22
118,"STEM School","STEM","No",20
119,"STEM School","STEM","Yes",21
120,"STEM School","Business","Yes",20
121,"Non-STEM School","Humanities","Yes",20
122,"Non-STEM School","Humanities","Yes",23
123,"STEM School","STEM","No",21
124,"STEM School","STEM","Yes",23
125,"Non-STEM School","STEM","Yes",20
126,"STEM School","Business","Yes",21
127,"Non-STEM School","Business","No",24
128,"Non-STEM School","Humanities","Yes",24
129,"Non-STEM School","Social Sciences","Yes",21
130,"STEM School","STEM","Yes",21
131,"STEM School","STEM","Yes",21
132,"STEM School","STEM","Yes",22
133,"Non-STEM School","Humanities","No",21
134,"Non-STEM School","Business","Yes",22
135,"Non-STEM School","Business","Yes",22
136,"Non-STEM School","Social Sciences","Yes",20
137,"Non-STEM School","Social Sciences","No",21
138,"STEM School","STEM","Yes",20
139,"STEM School","Business","No",22
140,"STEM School","STEM","Yes",22
141,"STEM School","Social Sciences","Yes",22
142,"Non-STEM School","Business","No",20
143,"Non-STEM School","Humanities","No",19
144,"STEM School","Business","No",22
145,"Non-STEM School","Arts","Yes",22
146,"STEM School","STEM","Yes",20
147,"Non-STEM School","Humanities","Yes",22
148,"STEM School","Business","No",21
149,"STEM School","STEM","Yes",21
150,"STEM School","Business","Yes",21
151,"Non-STEM School","Arts","No",23
152,"Non-STEM School","Arts","No",21
153,"STEM School","Social Sciences","No",19
154,"STEM School","STEM","No",21
155,"STEM School","Arts","No",21
156,"STEM School","STEM","Yes",20
157,"Non-STEM School","Social Sciences","No",21
158,"Non-STEM School","Social Sciences","No",22
159,"STEM School","Arts","Yes",21
160,"Non-STEM School","Social Sciences","Yes",23
161,"STEM School","STEM","Yes",21
162,"Non-STEM School","Humanities","Yes",19
163,"Non-STEM School","Humanities","No",21
164,"STEM School","STEM","Yes",23
165,"STEM School","Business","Yes",22
166,"STEM School","STEM","No",21
167,"STEM School","Business","Yes",21
168,"STEM School","STEM","Yes",21
169,"STEM School","STEM","Yes",19
170,"STEM School","Business","No",22
171,"STEM School","Business","Yes",20
172,"Non-STEM School","Business","Yes",20
173,"Non-STEM School","Arts","Yes",21
174,"Non-STEM School","Arts","No",21
175,"Non-STEM School","Social Sciences","No",21
176,"Non-STEM School","Humanities","Yes",19
177,"Non-STEM School","Business","Yes",22
178,"Non-STEM School","Social Sciences","Yes",19
179,"STEM School","Social Sciences","Yes",22
180,"Non-STEM School","Business","No",21
181,"Non-STEM School","Social Sciences","Yes",20
182,"Non-STEM School","Business","No",20
183,"Non-STEM School","Social Sciences","Yes",19
184,"Non-STEM School","Arts","No",19
185,"Non-STEM School","Business","No",20
186,"STEM School","STEM","Yes",19
187,"STEM School","Business","No",22
188,"STEM School","Business","Yes",23
189,"Non-STEM School","Arts","Yes",20
190,"STEM School","STEM","No",20
191,"STEM School","STEM","Yes",20
192,"STEM School","STEM","Yes",21
193,"STEM School","Business","No",21
194,"STEM School","STEM","Yes",22
195,"STEM School","Business","Yes",21
196,"Non-STEM School","Arts","Yes",19
197,"Non-STEM School","Business","Yes",20
198,"Non-STEM School","Humanities","Yes",20
199,"STEM School","STEM","No",22
200,"STEM School","Business","No",20
